prescription_id,image_id,gt_count,p0_tp,p0_fp,p0_fn,p0_precision,p0_recall,p0_f1,p0_confirmed,p1_tp,p1_fp,p1_fn,p1_precision,p1_recall,p1_f1,p1_confirmed,p2_tp,p2_fp,p2_fn,p2_precision,p2_recall,p2_f1,p2_confirmed,p3_tp,p3_fp,p3_fn,p3_precision,p3_recall,p3_f1,p3_confirmed
RX_001,IMG_20260209_002313,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,1,10,0.8333,0.3333,0.4762,1,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_002409,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,1,10,0.8333,0.3333,0.4762,1,2,0,13,1.0,0.1333,0.2353,1
RX_001,IMG_20260209_002435,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,1,12,0.75,0.2,0.3158,0,3,1,12,0.75,0.2,0.3158,0
RX_001,IMG_20260209_002440,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,0,10,1.0,0.3333,0.5,0,4,0,11,1.0,0.2667,0.4211,0
RX_001,IMG_20260209_002444,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,2,0,13,1.0,0.1333,0.2353,0,2,0,13,1.0,0.1333,0.2353,0
RX_001,IMG_20260209_002447,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,1,12,0.75,0.2,0.3158,0
RX_001,IMG_20260209_002453,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002456,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002500,15,3,2,12,0.6,0.2,0.3,0,3,2,12,0.6,0.2,0.3,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002501,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002507,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,4,0,11,1.0,0.2667,0.4211,2,5,0,10,1.0,0.3333,0.5,2
RX_001,IMG_20260209_002518,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,1,1,14,0.5,0.0667,0.1176,0,1,1,14,0.5,0.0667,0.1176,0
RX_001,IMG_20260209_002648,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,4,1,11,0.8,0.2667,0.4,1,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_002648_1,15,4,2,11,0.6667,0.2667,0.381,0,4,2,11,0.6667,0.2667,0.381,0,5,1,10,0.8333,0.3333,0.4762,1,2,0,13,1.0,0.1333,0.2353,1
RX_001,IMG_20260209_002656,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,0,11,1.0,0.2667,0.4211,1,3,1,12,0.75,0.2,0.3158,1
RX_001,IMG_20260209_002706,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,1,10,0.8333,0.3333,0.4762,1,2,0,13,1.0,0.1333,0.2353,1
RX_001,IMG_20260209_002710,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,0,10,1.0,0.3333,0.5,1,2,0,13,1.0,0.1333,0.2353,1
RX_001,IMG_20260209_002714,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,1,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_002727,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,2,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002732,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002737,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002739,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002742,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,2,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002744,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,2,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002748,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,0,1,15,0.0,0.0,0.0,0,0,0,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002752,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,1,1,14,0.5,0.0667,0.1176,0,0,0,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_002815,15,5,1,10,0.8333,0.3333,0.4762,0,5,1,10,0.8333,0.3333,0.4762,0,1,1,14,0.5,0.0667,0.1176,0,1,1,14,0.5,0.0667,0.1176,0
RX_001,IMG_20260209_002819,15,4,0,11,1.0,0.2667,0.4211,0,4,0,11,1.0,0.2667,0.4211,0,2,0,13,1.0,0.1333,0.2353,0,2,1,13,0.6667,0.1333,0.2222,0
RX_001,IMG_20260209_002823,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,0,1,15,0.0,0.0,0.0,0,0,1,15,0.0,0.0,0.0,0
RX_001,IMG_20260209_180408,15,2,1,13,0.6667,0.1333,0.2222,0,2,1,13,0.6667,0.1333,0.2222,0,4,0,11,1.0,0.2667,0.4211,1,4,0,11,1.0,0.2667,0.4211,1
